epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3195,0.81361,1.86926,0.91348,0.78844,0.8063,0.8602,0.70261,0.70927,0.74025,0.8322,9.18006e-05,9.18006e-05,9.18006e-05
2,109.11,0.62293,0.54752,0.84222,0.85671,0.9634,0.97688,0.82612,0.68307,0.46616,0.83172,0.000180815,0.000180815,0.000180815
3,158.798,0.60283,0.46776,0.83531,0.94774,0.93967,0.98162,0.82641,0.63895,0.43168,0.8179,0.000266159,0.000266159,0.000266159
4,208.112,0.60139,0.42716,0.83366,0.90537,0.97651,0.98249,0.82583,0.68392,0.40686,0.82528,0.000261487,0.000261487,0.000261487
5,257.145,0.58636,0.39591,0.82998,0.95557,0.96329,0.98467,0.84442,0.65596,0.37127,0.82168,0.000255982,0.000255982,0.000255982
6,306.501,0.57415,0.38068,0.82933,0.9636,0.96588,0.98229,0.84138,0.62878,0.37076,0.81755,0.000250478,0.000250478,0.000250478
7,355.647,0.5717,0.37275,0.82662,0.96449,0.95701,0.98395,0.85232,0.65222,0.35571,0.81788,0.000244974,0.000244974,0.000244974
8,405.462,0.5637,0.36101,0.82656,0.96939,0.95617,0.98592,0.85248,0.62081,0.33698,0.81601,0.000239469,0.000239469,0.000239469
9,454.881,0.56137,0.3529,0.8259,0.94901,0.97404,0.98749,0.85325,0.63816,0.33679,0.81652,0.000233965,0.000233965,0.000233965
10,504.278,0.54985,0.34433,0.82353,0.95981,0.97101,0.9862,0.86195,0.61611,0.33546,0.81667,0.00022846,0.00022846,0.00022846
11,553.726,0.55072,0.34132,0.82305,0.9576,0.96964,0.98633,0.85901,0.61452,0.33283,0.81569,0.000222956,0.000222956,0.000222956
12,602.864,0.54671,0.33506,0.82346,0.96861,0.97146,0.98753,0.86551,0.60945,0.32481,0.8139,0.000217452,0.000217452,0.000217452
13,652.191,0.54303,0.33036,0.82057,0.96744,0.96724,0.9853,0.85209,0.60707,0.32751,0.81363,0.000211947,0.000211947,0.000211947
14,701.349,0.55049,0.33244,0.82339,0.96802,0.97368,0.98712,0.85129,0.60601,0.31677,0.81185,0.000206443,0.000206443,0.000206443
15,750.646,0.54058,0.32273,0.82317,0.96477,0.97832,0.98756,0.85735,0.60721,0.30938,0.81054,0.000200938,0.000200938,0.000200938
16,799.901,0.52871,0.31577,0.82163,0.96239,0.97026,0.9866,0.85705,0.60232,0.30813,0.80977,0.000195434,0.000195434,0.000195434
17,848.926,0.53379,0.3128,0.82118,0.96072,0.97432,0.98847,0.86452,0.60971,0.31337,0.81153,0.00018993,0.00018993,0.00018993
18,898.084,0.53037,0.30971,0.82117,0.96431,0.96795,0.98891,0.85938,0.59572,0.3112,0.81024,0.000184425,0.000184425,0.000184425
19,947.39,0.52795,0.31172,0.82089,0.96452,0.97791,0.98887,0.86094,0.58757,0.30364,0.81001,0.000178921,0.000178921,0.000178921
20,996.739,0.52773,0.3029,0.81937,0.97689,0.97288,0.99073,0.86555,0.59784,0.298,0.81036,0.000173416,0.000173416,0.000173416
21,1046.21,0.52356,0.29782,0.81946,0.96956,0.97196,0.99027,0.86684,0.60334,0.29934,0.81024,0.000167912,0.000167912,0.000167912
22,1095.77,0.51339,0.29362,0.8135,0.97233,0.97543,0.9911,0.87047,0.59289,0.29963,0.80879,0.000162408,0.000162408,0.000162408
23,1145.24,0.51772,0.3019,0.81497,0.95938,0.98229,0.9909,0.86892,0.58795,0.29225,0.81005,0.000156903,0.000156903,0.000156903
24,1194.48,0.5157,0.29035,0.81882,0.97247,0.9804,0.991,0.87538,0.59714,0.2858,0.81027,0.000151399,0.000151399,0.000151399
25,1243.74,0.51763,0.29361,0.81818,0.9729,0.97267,0.99038,0.87221,0.59213,0.29499,0.81011,0.000145894,0.000145894,0.000145894
26,1292.86,0.51934,0.29554,0.81833,0.96932,0.97823,0.99048,0.86811,0.60758,0.29809,0.81179,0.00014039,0.00014039,0.00014039
27,1341.97,0.51384,0.28796,0.81776,0.97016,0.97914,0.99032,0.88319,0.59342,0.2865,0.81034,0.000134886,0.000134886,0.000134886
28,1391.3,0.51477,0.28609,0.81812,0.97233,0.98055,0.98916,0.87892,0.58697,0.28202,0.8097,0.000129381,0.000129381,0.000129381
29,1440.51,0.51059,0.2847,0.81649,0.97339,0.98,0.9911,0.87868,0.59227,0.28399,0.80977,0.000123877,0.000123877,0.000123877
30,1489.63,0.50544,0.27988,0.81587,0.97708,0.97913,0.99121,0.87142,0.59133,0.28018,0.80892,0.000118372,0.000118372,0.000118372
31,1538.78,0.499,0.27819,0.81363,0.97269,0.97944,0.99018,0.87873,0.58988,0.27998,0.81001,0.000112868,0.000112868,0.000112868
32,1587.95,0.50894,0.27873,0.81685,0.96964,0.98167,0.99056,0.88085,0.58452,0.27829,0.80891,0.000107364,0.000107364,0.000107364
33,1636.99,0.49574,0.2716,0.81279,0.97357,0.98464,0.98967,0.87586,0.57324,0.27449,0.80722,0.000101859,0.000101859,0.000101859
34,1686.09,0.50045,0.27188,0.81512,0.97435,0.97939,0.98944,0.86926,0.58737,0.27582,0.80947,9.63548e-05,9.63548e-05,9.63548e-05
35,1735.23,0.49847,0.2712,0.81363,0.977,0.97964,0.99081,0.87946,0.59993,0.28254,0.81143,9.08504e-05,9.08504e-05,9.08504e-05
36,1784.37,0.48959,0.26651,0.81309,0.97393,0.98371,0.9911,0.87879,0.58486,0.27593,0.80723,8.5346e-05,8.5346e-05,8.5346e-05
37,1833.36,0.49126,0.26404,0.81345,0.96962,0.9836,0.99068,0.87479,0.58148,0.27784,0.8074,7.98416e-05,7.98416e-05,7.98416e-05
38,1882.51,0.49483,0.26706,0.8159,0.97202,0.98538,0.98919,0.87937,0.59324,0.27381,0.80837,7.43372e-05,7.43372e-05,7.43372e-05
39,1931.58,0.48287,0.26448,0.8116,0.97087,0.98571,0.98849,0.87278,0.59067,0.2733,0.81045,6.88328e-05,6.88328e-05,6.88328e-05
40,1980.79,0.4875,0.26448,0.81282,0.97432,0.98484,0.99069,0.8812,0.57972,0.26539,0.8081,6.33284e-05,6.33284e-05,6.33284e-05
41,2030.54,0.4941,0.23885,0.81154,0.97294,0.97821,0.98837,0.87704,0.58093,0.2727,0.80772,5.7824e-05,5.7824e-05,5.7824e-05
42,2079.48,0.49612,0.23914,0.81038,0.97325,0.97865,0.98995,0.8818,0.58354,0.26986,0.8106,5.23196e-05,5.23196e-05,5.23196e-05
43,2128.03,0.49063,0.23505,0.80895,0.97497,0.98467,0.99037,0.88013,0.57036,0.26535,0.80753,4.68152e-05,4.68152e-05,4.68152e-05
44,2176.66,0.4889,0.2322,0.80999,0.97662,0.98197,0.99032,0.88325,0.57467,0.26425,0.8067,4.13108e-05,4.13108e-05,4.13108e-05
45,2225.51,0.48252,0.2286,0.80771,0.97401,0.98243,0.99006,0.879,0.58019,0.26341,0.81008,3.58064e-05,3.58064e-05,3.58064e-05
46,2274.24,0.48365,0.22818,0.80615,0.97624,0.98432,0.99032,0.8839,0.58041,0.2638,0.80871,3.0302e-05,3.0302e-05,3.0302e-05
47,2323.14,0.47714,0.22594,0.80479,0.97564,0.98605,0.99086,0.88429,0.57322,0.25814,0.80682,2.47976e-05,2.47976e-05,2.47976e-05
